Center_ID,From_Process,To_Process,From_X,From_Y,To_X,To_Y,Flow_Units
3,G,F,-2.878118427738973,102.58756874979741,-16.457822821119574,112.73410781541412,5769.2307692307695
3,G,H,-2.878118427738973,102.58756874979741,-20.385148065736214,87.60518993928883,10769.23076923077
3,G,I,-2.878118427738973,102.58756874979741,-17.79895744180858,97.12086497165366,5641.025641025641
3,H,I,-20.385148065736214,87.60518993928883,-17.79895744180858,97.12086497165366,6987.179487179487
3,H,J,-20.385148065736214,87.60518993928883,-13.280446464282155,88.25767279608695,6025.641025641025
3,I,J,-17.79895744180858,97.12086497165366,-13.280446464282155,88.25767279608695,26794.871794871797
3,J,I,-13.280446464282155,88.25767279608695,-17.79895744180858,97.12086497165366,1538.4615384615383
3,K,L,-0.7870303590243166,84.34093492325515,-5.289295066854252,93.60676929390543,5641.025641025642
3,K,M,-0.7870303590243166,84.34093492325515,-10.015354612554708,102.07322433917277,8910.25641025641
3,L,K,-5.289295066854252,93.60676929390543,-0.7870303590243166,84.34093492325515,8910.25641025641
3,L,M,-5.289295066854252,93.60676929390543,-10.015354612554708,102.07322433917277,15000.0
3,M,L,-10.015354612554708,102.07322433917277,-5.289295066854252,93.60676929390543,6666.666666666667
